Biograf;By;Forestillingstidspunkt;Filmtitel;Filmgenre;Filmvarighed;Filminstruktør;Premieredato;Bookingmail;Bookingtelefonnummer;Billetantal
Cinemaxx;Odense;2020-04-03 21:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;djupedal@live.com;94816860;1
Cinemaxx;Odense;2020-06-05 15:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;miltchev@yahoo.com;48560738;4
Cinemaxx;Odense;2020-08-07 19:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;dmath@comcast.net;13877584;3
Cinemaxx;Århus;2020-05-20 19:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;jkegl@verizon.net;79908480;5
Cinemaxx;Århus;2020-01-10 21:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;speeves@aol.com;77161028;3
Nordisk Film;Odense;2020-05-20 15:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;jbailie@outlook.com;91982260;4
Nordisk Film;Odense;2020-08-07 19:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;cderoove@icloud.com;18406306;1
Nordisk Film;Odense;2020-08-07 19:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;flavell@gmail.com;45352069;4
Nordisk Film;Århus;2020-05-20 19:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;scato@icloud.com;71080278;4
Nordisk Film;Århus;2020-01-10 21:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;mallanmba@yahoo.ca;95597338;5
Cinemaxx;Odense;2019-04-05 19:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;bwcarty@comcast.net;78603148;4
Cinemaxx;Odense;2019-01-01 21:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;kramulous@yahoo.com;45373471;4
Cinemaxx;Odense;2018-11-30 15:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;alias@aol.com;98447997;2
Cinemaxx;Århus;2019-04-05 19:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;malattia@icloud.com;31439399;3
Cinemaxx;Århus;2019-01-01 21:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;moxfulder@optonline.net;14559186;3
Nordisk Film;Odense;2018-11-30 15:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;jamuir@comcast.net;23573418;5
Nordisk Film;Odense;2019-02-12 21:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;heckerman@gmail.com;17971024;2
Nordisk Film;Odense;2018-12-12 21:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;dgriffith@msn.com;63024480;2
Nordisk Film;Århus;2018-12-26 19:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;elflord@hotmail.com;80941308;1
Nordisk Film;Århus;2019-05-02 15:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;bmorrow@comcast.net;40462260;2
Cinemaxx;Odense;2019-12-01 19:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;durist@sbcglobal.net;72879172;1
Cinemaxx;Odense;2019-12-01 19:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;demmel@hotmail.com;10650545;1
Cinemaxx;Odense;2019-12-01 19:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;miltchev@me.com;85540697;3
Cinemaxx;Århus;2019-11-15 21:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;eimear@icloud.com;23860147;2
Cinemaxx;Århus;2019-11-15 21:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;gtaylor@mac.com;65236201;1
Nordisk Film;Odense;2019-11-15 21:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;jusdisgi@yahoo.ca;56924579;5
Nordisk Film;Odense;2019-11-15 21:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;fukuchi@live.com;39221607;1
Nordisk Film;Odense;2019-12-23 15:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;paina@icloud.com;12428941;1
Nordisk Film;Århus;2019-12-23 15:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;tjensen@yahoo.ca;71817409;3
Nordisk Film;Århus;2019-12-23 15:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;muadip@sbcglobal.net;56800833;3
Cinemaxx;Odense;2019-04-05 19:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;thowell@live.com;93755908;5
Cinemaxx;Odense;2019-01-01 21:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;dbindel@mac.com;92059231;5
Cinemaxx;Odense;2018-11-30 15:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;kassiesa@me.com;81876567;1
Cinemaxx;Århus;2019-04-05 19:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;nichoj@me.com;40940316;4
Cinemaxx;Århus;2019-01-01 21:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;imightb@me.com;16706901;4
Nordisk Film;Odense;2018-11-30 15:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;camenisch@yahoo.com;35024212;1
Nordisk Film;Odense;2019-02-12 21:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;bulletin@yahoo.com;68533628;5
Nordisk Film;Odense;2018-12-12 21:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;tedrlord@verizon.net;60351922;4
Nordisk Film;Århus;2018-12-26 19:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;ngedmond@att.net;23716329;5
Nordisk Film;Århus;2019-05-02 15:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;aglassis@gmail.com;40037990;3
Cinemaxx;Odense;2017-12-25 19:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;ideguy@icloud.com;53029064;4
Cinemaxx;Odense;2018-01-02 21:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;ngedmond@aol.com;57519890;2
Cinemaxx;Odense;2018-01-03 21:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;khris@hotmail.com;33417420;1
Cinemaxx;Århus;2017-12-25 19:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;scarlet@hotmail.com;19245648;5
Cinemaxx;Århus;2018-02-05 15:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;gknauss@live.com;54080732;1
Nordisk Film;Odense;2018-02-05 15:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;paina@verizon.net;21775017;3
